class,f1_score,precision,recall,support
  hot_air_balloon,0.9,0.97,0.84,80.0
    hot_dog,0.83,0.79,0.86,80.0
    hot_tub,0.73,0.84,0.65,80.0
  hourglass,0.94,0.96,0.91,80.0
house,0.88,0.87,0.9,80.0
house_plant,0.91,0.91,0.91,80.0
  hurricane,0.58,0.56,0.6,80.0
  ice_cream,0.96,0.94,0.97,80.0
     jacket,0.8,0.8,0.8,80.0
 jail,0.85,0.87,0.82,80.0
   kangaroo,0.87,0.82,0.93,80.0
  key,0.92,0.9,0.94,80.0
   keyboard,0.75,0.73,0.78,80.0
 knee,0.81,0.76,0.86,80.0
     ladder,0.96,1.0,0.93,80.0
    lantern,0.76,0.79,0.72,80.0
     laptop,0.83,0.77,0.89,80.0
 leaf,0.84,0.86,0.82,80.0
  leg,0.58,0.68,0.5,80.0
 light_bulb,0.86,0.85,0.86,80.0
 lighthouse,0.88,0.83,0.93,80.0
  lightning,0.83,0.82,0.84,80.0
 line,0.78,0.68,0.91,80.0
 lion,0.9,0.91,0.89,80.0
   lipstick,0.84,0.83,0.85,80.0
    lobster,0.79,0.76,0.82,80.0
   lollipop,0.87,0.82,0.93,80.0
    mailbox,0.89,0.91,0.88,80.0
  map,0.87,0.86,0.88,80.0
     marker,0.56,0.47,0.69,80.0
    matches,0.78,0.84,0.72,80.0
  megaphone,0.84,0.88,0.81,80.0
    mermaid,0.94,0.96,0.91,80.0
 microphone,0.85,0.87,0.84,80.0
  microwave,0.86,0.87,0.85,80.0
     monkey,0.7,0.71,0.7,80.0
 moon,0.65,0.78,0.56,80.0
   mosquito,0.76,0.78,0.74,80.0
  motorbike,0.7,0.71,0.7,80.0
   mountain,0.86,0.89,0.84,80.0
mouse,0.76,0.79,0.74,80.0
  moustache,0.89,0.88,0.9,80.0
mouth,0.84,0.82,0.86,80.0
  mug,0.62,0.59,0.66,80.0
   mushroom,0.83,0.79,0.88,80.0
 nail,0.75,0.76,0.74,80.0
   necklace,0.83,0.88,0.79,80.0
 nose,0.81,0.77,0.85,80.0
ocean,0.75,0.78,0.72,80.0
    octagon,0.78,0.79,0.76,80.0
    octopus,0.93,0.93,0.93,80.0
onion,0.82,0.88,0.76,80.0
 oven,0.59,0.61,0.57,80.0
  owl,0.89,0.9,0.89,80.0
  paint_can,0.71,0.78,0.65,80.0
 paintbrush,0.78,0.77,0.79,80.0
  palm_tree,0.85,0.93,0.79,80.0
panda,0.78,0.78,0.78,80.0
pants,0.88,0.91,0.85,80.0
 paper_clip,0.92,0.88,0.95,80.0
  parachute,0.96,0.95,0.96,80.0
     parrot,0.71,0.67,0.76,80.0
   passport,0.86,0.88,0.84,80.0
     peanut,0.83,0.79,0.86,80.0
 pear,0.89,0.91,0.88,80.0
 peas,0.79,0.76,0.81,80.0
     pencil,0.78,0.78,0.78,80.0
    penguin,0.89,0.89,0.89,80.0
piano,0.83,0.88,0.79,80.0
     pickup_truck,0.77,0.78,0.76,80.0
    picture_frame,0.88,0.87,0.9,80.0
  pig,0.84,0.82,0.86,80.0
     pillow,0.73,0.73,0.74,80.0
